,Brand,Model,Gear,KM,Energie,Year,Price,state,region,Category
1219,PEUGEOT,3008,AUTOMATIQUE,83573,DIESEL,2019,26660.0,Île-de-France,Hauts-de-Seine,Second-Hand
1220,PEUGEOT,208,AUTOMATIQUE,6,ESSENCE,2021,29230.0,Hauts-de-France,Nord,New
1221,PEUGEOT,208,MANUELLE,17473,ESSENCE,2020,13680.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1222,PEUGEOT,208,MANUELLE,20538,ESSENCE,2019,14980.0,Île-de-France,Hauts-de-Seine,Second-Hand
1223,PEUGEOT,3008,AUTOMATIQUE,64713,DIESEL,2018,29630.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1224,CITROEN,C3,MANUELLE,28045,ESSENCE,2019,13130.0,Hauts-de-France,Nord,Second-Hand
1225,CITROEN,C3,MANUELLE,65271,DIESEL,2021,12610.0,Hauts-de-France,Somme,Second-Hand
1226,CITROEN,C3,MANUELLE,14084,ESSENCE,2021,15880.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1227,CITROEN,C3,MANUELLE,122805,DIESEL,2019,12740.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1228,CITROEN,C1,MANUELLE,4295,ESSENCE,2019,13420.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1229,CITROEN,C1,MANUELLE,17,ESSENCE,2021,14320.0,Normandie,Seine-Maritime,New
1230,CITROEN,C3,AUTOMATIQUE,40588,ESSENCE,2019,16480.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1231,CITROEN,C3,MANUELLE,41456,ESSENCE,2019,15610.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1232,CITROEN,C3,MANUELLE,78163,DIESEL,2020,12060.0,Hauts-de-France,Nord,Second-Hand
1233,CITROEN,C1,MANUELLE,13174,ESSENCE,2019,9700.0,Île-de-France,Hauts-de-Seine,Second-Hand
1234,CITROEN,C3,MANUELLE,79616,DIESEL,2019,14450.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1235,TOYOTA,YARIS,AUTOMATIQUE,38289,HYBRIDE,2019,18470.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1236,TOYOTA,AYGO,MANUELLE,35090,ESSENCE,2019,9330.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1237,TOYOTA,AYGO,MANUELLE,3391,ESSENCE,2021,14120.0,Grand Est,Marne,Second-Hand
1238,TOYOTA,C-HR,AUTOMATIQUE,12,HYBRIDE,2021,28070.0,Île-de-France,Yvelines,New
1239,TOYOTA,C-HR,AUTOMATIQUE,1,HYBRIDE,2021,42000.0,Île-de-France,Val-de-Marne,New
1240,TOYOTA,YARIS,MANUELLE,28551,ESSENCE,2019,11480.0,Grand Est,Marne,Second-Hand
1241,TOYOTA,C-HR,AUTOMATIQUE,11,HYBRIDE,2021,25360.0,Île-de-France,Yvelines,New
1242,TOYOTA,YARIS,AUTOMATIQUE,38520,HYBRIDE,2019,15940.0,Île-de-France,Seine-et-Marne,Second-Hand
1243,TOYOTA,YARIS,AUTOMATIQUE,32504,HYBRIDE,2019,14350.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1244,TOYOTA,C-HR,AUTOMATIQUE,13236,HYBRIDE,2020,25970.0,Grand Est,Marne,Second-Hand
1245,TOYOTA,C-HR,AUTOMATIQUE,12,HYBRIDE,2021,28650.0,Île-de-France,Yvelines,New
