,Brand,Model,Gear,KM,Category,Energie,Year,Price,longitude,latitude,State
68,PEUGEOT,308,MANUELLE,11063,Second-Hand,ESSENCE,2021,22370.0,4.8196004,45.71493820000001,AUVERGNE-RHÔNE-ALPES
69,PEUGEOT,308,AUTOMATIQUE,128373,Second-Hand,DIESEL,2019,17960.0,-0.26853309999999997,44.5602505,NOUVELLE-AQUITAINE
70,PEUGEOT,108,MANUELLE,11,New,ESSENCE,2021,13420.0,-0.6423139999999999,44.785382,NOUVELLE-AQUITAINE
71,PEUGEOT,208,MANUELLE,28643,Second-Hand,ESSENCE,2019,13620.0,1.9330241000000001,48.75670359999999,ÎLE-DE-FRANCE
72,PEUGEOT,2008,MANUELLE,27326,Second-Hand,ESSENCE,2019,16520.0,3.121595,50.631513,HAUTS-DE-FRANCE
73,PEUGEOT,308,AUTOMATIQUE,19776,Second-Hand,DIESEL,2020,26140.0,3.121595,50.631513,HAUTS-DE-FRANCE
74,PEUGEOT,3008,MANUELLE,78352,Second-Hand,DIESEL,2019,26300.0,4.8620739,45.716894,AUVERGNE-RHÔNE-ALPES
75,PEUGEOT,308,AUTOMATIQUE,55589,Second-Hand,ESSENCE,2019,24980.0,-0.26853309999999997,44.5602505,NOUVELLE-AQUITAINE
76,PEUGEOT,308,AUTOMATIQUE,10,New,DIESEL,2021,28840.0,2.2990862,48.848465399999995,ÎLE-DE-FRANCE
77,PEUGEOT,208,MANUELLE,23710,Second-Hand,ESSENCE,2019,15090.0,3.121595,50.631513,HAUTS-DE-FRANCE
78,PEUGEOT,308,AUTOMATIQUE,89736,Second-Hand,ESSENCE,2017,17290.0,-0.6884505,44.8228221,NOUVELLE-AQUITAINE
79,PEUGEOT,3008,MANUELLE,104635,Second-Hand,DIESEL,2017,22160.0,1.4318042,43.6375545,OCCITANIE
80,CITROEN,C3,MANUELLE,1630,Second-Hand,ESSENCE,2021,15350.0,-0.26853309999999997,44.5602505,NOUVELLE-AQUITAINE
81,CITROEN,C4,AUTOMATIQUE,11,New,DIESEL,2021,29930.0,-0.26853309999999997,44.5602505,NOUVELLE-AQUITAINE
82,CITROEN,C3,MANUELLE,48950,Second-Hand,DIESEL,2017,11180.0,3.0109543999999997,50.6449927,HAUTS-DE-FRANCE
