Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
RENAULT,Arkana,Automatique,10,Essence,2021,33 980,77100,2.8786666666666663,48.9265
RENAULT,Zoe,Automatique,5094,Electrique,2020,16 500,57180,6.1335,49.3467
RENAULT,Kangoo express,Manuelle,10,Diesel,2021,15 490,62220,2.9582,50.4924
RENAULT,Megane,Manuelle,45100,Diesel,2018,16 990,59640,2.377,51.033
RENAULT,Twingo,Manuelle,30156,Essence,2018,9 990,74200,6.51566,46.3258
RENAULT,Clio,Manuelle,40091,Diesel,2018,10 790,13100,5.51904,43.5195
RENAULT,Clio,Manuelle,8993,Diesel,2020,14 581,69200,4.8715,45.7025
RENAULT,Zoe,Automatique,7990,Electrique,2019,18 480,77100,2.8786666666666663,48.9265
RENAULT,Scenic,Manuelle,13217,Essence,2019,22 490,57180,6.1335,49.3467
RENAULT,Captur,Manuelle,14313,Diesel,2020,19 990,25300,6.350984615384616,46.9
RENAULT,Captur,Manuelle,9989,Diesel,2020,19 980,1000,5.2075,46.2022
RENAULT,Twingo,Manuelle,7505,Essence,2020,13 400,26000,4.8951,44.928000000000004
RENAULT,Clio,Manuelle,28604,Diesel,2017,10 990,94000,2.4657,48.7927
RENAULT,Clio,Manuelle,60472,Diesel,2017,9 990,59850,2.8351,50.7043
RENAULT,Clio,Manuelle,15006,Diesel,2020,15 490,57000,6.1727,49.1191
RENAULT,Clio,Manuelle,31575,Essence,2017,11 490,62220,2.9582,50.4924
RENAULT,Megane,Manuelle,74764,Diesel,2017,14 990,10510,3.802666666666666,48.50100000000001
RENAULT,Grand scenic,Automatique,10,Diesel,2021,28 490,74100,6.2448000000000015,46.203
RENAULT,Clio,Manuelle,50007,Essence,2019,13 490,62000,2.75395,50.28100000000001
RENAULT,Clio,Manuelle,63844,Diesel,2016,9 990,60400,3.0250296296296293,49.5569
RENAULT,Kadjar,Manuelle,57257,Essence,2019,18 499,44400,-1.5497,47.1814
RENAULT,Twingo,Automatique,22496,Essence,2019,14 990,59223,3.1213,50.7533
RENAULT,Captur,Manuelle,96948,Diesel,2016,11 980,7430,4.711266666666666,45.2524
RENAULT,Scenic,Manuelle,22450,Essence,2019,17 480,38312,,
RENAULT,Captur,Manuelle,5000,Diesel,2021,23 900,26000,4.8951,44.928000000000004
RENAULT,Zoe,Automatique,8000,Electrique,2020,23 990,74200,6.51566,46.3258
RENAULT,Master,Manuelle,33595,Diesel,2019,23 990,59223,3.1213,50.7533
RENAULT,Captur,Manuelle,60000,Essence,2018,13 480,38200,4.903812500000001,45.4962
RENAULT,Captur,Manuelle,60592,Diesel,2016,12 490,25300,6.350984615384616,46.9
RENAULT,Megane,Manuelle,22825,Essence,2017,14 290,94000,2.4657,48.7927
RENAULT,Grand scenic,Manuelle,28474,Essence,2015,13 990,59160,3.01025,50.633
RENAULT,Talisman,Automatique,6000,Essence,2021,31 900,62231,1.7723666666666666,50.9456
RENAULT,Megane,Manuelle,8667,Diesel,2020,19 990,62800,2.7807,50.4198
RENAULT,Megane,Manuelle,5000,Diesel,2021,25 590,13100,5.51904,43.5195
RENAULT,Clio,Manuelle,23958,Essence,2018,12 400,70000,6.143630952380952,47.6563
RENAULT,Kadjar,Manuelle,29308,Diesel,2017,18 490,74100,6.2448000000000015,46.203
RENAULT,Twingo,Manuelle,21161,Essence,2018,8 500,54135,5.7808,49.5007
RENAULT,Twingo,Manuelle,10714,Essence,2019,8 690,62232,2.6100000000000003,50.5667
RENAULT,Kadjar,Manuelle,4562,Essence,2020,24 990,57180,6.1335,49.3467
RENAULT,Captur,Manuelle,24564,Essence,2020,19 499,16430,0.14593333333333333,45.7167
RENAULT,Kadjar,Manuelle,9500,Diesel,2020,22 990,51000,4.3672,48.9539
RENAULT,Megane,Manuelle,5000,Diesel,2021,24 590,13127,5.2486,43.46
OPEL,Mokka x,Manuelle,51844,Essence,2017,14 499,37540,0.6667,47.4
RENAULT,Kadjar,Manuelle,51353,Essence,2016,14 390,62110,2.9649,50.4136
RENAULT,Kadjar,Manuelle,6502,Diesel,2020,23 990,62800,2.7807,50.4198
RENAULT,Clio,Manuelle,40807,Essence,2017,9 990,62219,2.21415,50.733999999999995
RENAULT,Scenic xmod,Manuelle,66991,Essence,2014,10 490,25300,6.350984615384616,46.9
RENAULT,Talisman,Automatique,41989,Essence,2018,17 990,51100,4.0333,49.25
RENAULT,Captur,Automatique,51659,Essence,2016,13 490,51100,4.0333,49.25
RENAULT,Twingo,Manuelle,7559,Essence,2020,12 590,73200,6.373636363636364,45.6592
RENAULT,Arkana,Automatique,9000,Hybride,2021,34 490,51000,4.3672,48.9539
RENAULT,Kadjar,Automatique,20800,Diesel,2019,21 990,57400,7.044410000000001,48.7767
RENAULT,Clio,Manuelle,1000,Essence,2021,16 200,62231,1.7723666666666666,50.9456
RENAULT,Kangoo express,Manuelle,33819,Diesel,2018,12 490,2000,3.5761192307692307,49.5631
RENAULT,Koleos,Automatique,7000,Diesel,2020,40 990,13100,5.51904,43.5195
RENAULT,Twingo,Manuelle,6335,Essence,2020,11 690,57200,7.1297375,49.0895
RENAULT,Kadjar,Manuelle,3918,Essence,2020,22 469,25000,6.0182,47.2488
RENAULT,Twingo,Manuelle,25526,Essence,2016,8 290,33700,-0.6338,44.8325
RENAULT,Talisman estate,Manuelle,72000,Diesel,2018,15 990,59640,2.377,51.033
RENAULT,Twingo,Manuelle,5980,Essence,2020,11 980,1000,5.2075,46.2022
RENAULT,Kadjar,Manuelle,61971,Diesel,2017,16 990,1100,5.636914285714285,46.2592
RENAULT,Alaskan,Manuelle,7250,Diesel,2018,35 590,26000,4.8951,44.928000000000004
RENAULT,Clio,Automatique,10,Hybride,2020,24 990,73230,5.987283333333334,45.5863
RENAULT,Megane,Manuelle,43450,Diesel,2017,15 890,13127,5.2486,43.46
