,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region
5715,VOLKSWAGEN,POLO,MANUELLE,79345,Second-Hand,DIESEL,2020,15980.0,31670,1.5177695,43.54516710000001,LABÈGE,OCCITANIE,HAUTE-GARONNE
5716,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,58070,Second-Hand,DIESEL,2018,29620.0,59650,3.122563,50.638846,VILLENEUVE-D'ASCQ,HAUTS-DE-FRANCE,NORD
5717,VOLKSWAGEN,T-ROC,AUTOMATIQUE,26259,Second-Hand,ESSENCE,2020,26730.0,27000,1.1887832,49.0254804,ÉVREUX,NORMANDIE,EURE
5718,VOLKSWAGEN,GOLF,AUTOMATIQUE,11,New,ESSENCE,2021,33580.0,21300,5.019013200000002,47.2853468,CHENÔVE,BOURGOGNE-FRANCHE-COMTÉ,CÔTE-D'OR
5719,VOLKSWAGEN,GOLF,MANUELLE,59880,Second-Hand,ESSENCE,2019,18820.0,39100,5.4583708,47.06577799999999,"GEVRY, AUTHUME, BREVANS, JOUHE, BAVERANS, SAMPANS, CHAMPVANS, FOUCHERANS, DOLE, PARCEY, CHOISEY, CRISSEY, VILLETTE-LÈS-DOLE, MONNIÈRES",BOURGOGNE-FRANCHE-COMTÉ,JURA
5720,RENAULT,TWINGO,MANUELLE,68230,Second-Hand,ESSENCE,2019,11220.0,28100,1.3442491,48.74615230000001,DREUX,CENTRE-VAL DE LOIRE,EURE-ET-LOIR
5721,RENAULT,CLIO,MANUELLE,10378,Second-Hand,DIESEL,2019,14499.0,37170,0.7001691999999999,47.333475,CHAMBRAY-LÈS-TOURS,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE
5722,RENAULT,CLIO,MANUELLE,15902,Second-Hand,DIESEL,2018,11850.0,35510,-1.616473,48.1063327,CESSON-SÉVIGNÉ,BRETAGNE,ILLE-ET-VILAINE
5723,RENAULT,CAPTUR,AUTOMATIQUE,55042,Second-Hand,DIESEL,2020,15390.0,56800,-2.379717,47.93168000000001,"MONTERTELOT, AUGAN, LOYAT, MONTERREIN, PLOËRMEL, TAUPONT, VAL D'OUST, CAMPÉNÉAC, GUILLAC, QUILY, GOURHEL",BRETAGNE,MORBIHAN
5724,RENAULT,TWINGO,MANUELLE,23884,Second-Hand,ESSENCE,2019,10420.0,37300,0.648341,47.34759,JOUÉ-LÈS-TOURS,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE
5725,RENAULT,CLIO,AUTOMATIQUE,26969,Second-Hand,ESSENCE,2021,24960.0,37170,0.7001691999999999,47.333475,CHAMBRAY-LÈS-TOURS,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE
5726,RENAULT,CAPTUR,MANUELLE,43268,Second-Hand,ESSENCE,2019,16320.0,33320,-0.6618778000000001,44.8694347,"LE TAILLAN-MÉDOC, EYSINES",NOUVELLE-AQUITAINE,GIRONDE
5727,RENAULT,CLIO,MANUELLE,57933,Second-Hand,ESSENCE,2020,11970.0,77185,2.6383931,48.8323271,LOGNES,ÎLE-DE-FRANCE,SEINE-ET-MARNE
