Brand,Model,Gear,KM,Energie,Year,Price,Zip_code,longitude,latitude
CITROEN,C4 picasso,Manuelle,42000,Diesel,2017,17 876,51100,4.0333,49.25
CITROEN,C5 aircross,Automatique,9000,Hybride,2021,38 260,74700,6.630466666666668,45.9142
CITROEN,C4 cactus,Manuelle,100,Essence,2021,19 867,51100,4.0333,49.25
CITROEN,C5 aircross,Automatique,58984,Diesel,2019,25 990,62217,2.7804857142857142,50.2591
CITROEN,C5 aircross,Automatique,9850,Essence,2020,29 900,70000,6.143630952380952,47.6563
CITROEN,C4 cactus,Manuelle,21920,Essence,2020,16 490,59552,3.06305,50.3404
CITROEN,C4 picasso,Automatique,112502,Diesel,2015,11 970,71103,,
CITROEN,C5 aircross,Manuelle,3521,Diesel,2021,27 690,86400,0.2659181818181819,46.0852
CITROEN,C5 aircross,Manuelle,10534,Diesel,2020,26 790,73203,,
CITROEN,C4 cactus,Automatique,2835,Essence,2020,19 990,1000,5.2075,46.2022
CITROEN,C5 aircross,Automatique,18717,Diesel,2020,30 990,79000,-0.4812666666666667,46.3231
CITROEN,C4 cactus,Manuelle,38133,Diesel,2019,14 290,3100,2.6,46.3333
CITROEN,C4,Manuelle,114256,Diesel,2016,11 390,74200,6.51566,46.3258
CITROEN,C4 cactus,Manuelle,12515,Essence,2019,17 990,71000,4.820033333333334,46.3393
CITROEN,C5 aircross,Manuelle,3900,Diesel,2020,28 480,38200,4.903812500000001,45.4962
CITROEN,C4 cactus,Automatique,17817,Essence,2020,18 999,64300,-0.7441782608695651,43.5125
CITROEN,C4 picasso,Automatique,122864,Diesel,2018,12 690,16430,0.14593333333333333,45.7167
CITROEN,C4 cactus,Manuelle,1275,Diesel,2020,17 990,51530,3.9440588235294123,49.0107
CITROEN,C5 aircross,Automatique,25495,Diesel,2020,31 990,64300,-0.7441782608695651,43.5125
CITROEN,C5 aircross,Automatique,8000,Diesel,2020,32 990,73000,5.9237,45.6216
