,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region,Scoring
7521,PEUGEOT,208,MANUELLE,24679,Second-Hand,ESSENCE,2019,12999.0,41260,1.3676,47.6162,LA CHAUSSÉE-SAINT-VICTOR,CENTRE-VAL DE LOIRE,LOIR-ET-CHER,6.36
7522,PEUGEOT,208,MANUELLE,30709,Second-Hand,ESSENCE,2019,11499.0,86000,0.3333,46.5833,POITIERS,NOUVELLE-AQUITAINE,VIENNE,6.36
7523,PEUGEOT,3008,AUTOMATIQUE,9000,Second-Hand,HYBRIDE,2020,39900.0,73000,5.9237,45.6216,"CHAMBÉRY, MONTAGNOLE, BASSENS, BARBERAZ, SONNAZ, JACOB-BELLECOMBETTE",AUVERGNE-RHÔNE-ALPES,SAVOIE,8.18
7524,PEUGEOT,308,AUTOMATIQUE,49082,Second-Hand,ESSENCE,2018,22999.0,36250,1.6114333333333335,46.8066,"NIHERNE, SAINT-MAUR, VILLERS-LES-ORMES",CENTRE-VAL DE LOIRE,INDRE,6.36
7525,PEUGEOT,208,MANUELLE,30135,Second-Hand,ESSENCE,2018,9280.0,38000,5.7224,45.1715,GRENOBLE,AUVERGNE-RHÔNE-ALPES,ISÈRE,5.91
7526,PEUGEOT,208,AUTOMATIQUE,28578,Second-Hand,ESSENCE,2019,15599.0,77100,2.8786666666666663,48.9265,"NANTEUIL-LÈS-MEAUX, MAREUIL-LÈS-MEAUX, MEAUX",ÎLE-DE-FRANCE,SEINE-ET-MARNE,6.82
7527,PEUGEOT,208,MANUELLE,103460,Second-Hand,DIESEL,2017,9499.0,86100,0.5844800000000001,46.7667,"CHÂTELLERAULT, ANTRAN, SENILLÉ, SAINT-SAUVEUR, SENILLÉ-SAINT-SAUVEUR",NOUVELLE-AQUITAINE,VIENNE,4.55
7528,PEUGEOT,308,AUTOMATIQUE,55,New,DIESEL,2021,27590.0,26000,4.8951,44.928000000000004,VALENCE,AUVERGNE-RHÔNE-ALPES,DRÔME,8.64
7529,PEUGEOT,208,MANUELLE,20000,Second-Hand,ESSENCE,2018,11499.0,86000,0.3333,46.5833,POITIERS,NOUVELLE-AQUITAINE,VIENNE,6.36
7530,PEUGEOT,3008,AUTOMATIQUE,5000,Second-Hand,DIESEL,2021,38990.0,84000,4.8089,43.9483,AVIGNON,PROVENCE-ALPES-CÔTE D'AZUR,VAUCLUSE,8.18
